year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1946,11,-518,1
1988,1636,11,-524,13
1989,1789,10,-519,4
1990,1893,9,-587,3
1991,2106,13,-610,7
1992,2115,10,-639,0
1993,2133,10,-732,0
1994,1832,12,-547,2
1995,2024,11,-571,0
1996,1886,8,-480,1
1997,1672,11,-503,4
1998,2069,11,-575,0
1999,2100,11,-765,0
2000,1862,11,-681,0
2001,1974,10,-537,5
2002,1902,11,-467,3
2003,2044,9,-518,0
2004,2038,10,-661,1
2005,1714,10,-422,1
2006,2089,11,-556,1
2007,1988,12,-515,2
2008,1989,11,-427,0
2009,2140,11,-613,1
2010,1557,9,-367,0
2011,1780,8,-447,0
2012,1985,12,-388,0
2013,1765,11,-531,5
2014,2356,13,-621,2
2015,1535,10,-527,1
2016,1975,11,-545,3
2016
2017,2079,14,-578,5
2018,1981,12,-622,5
2019,1865,12,-489,7
2020,2170,13,-407,2
2021,2045,13,-592,0
2022,2223,11,-547,1
2023,1733,10,-598,2
2024,2057,11,-653,1
2025,2200,12,-563,0
2026,2212,11,-590,0
2027,2224,14,-716,5
2028,2163,11,-639,0
2029,1902,12,-658,1
2030,2099,13,-695,3
2031,2301,13,-593,3
2032,2268,13,-576,4
2033,1974,11,-539,4
2034,2230,12,-675,5
2035,2468,13,-722,4
2036,2234,12,-635,0
2037,2280,14,-619,0
2038,1833,14,-501,3
2039,2184,12,-521,3
2040,2227,13,-565,2
2041,1990,11,-398,0
2042,2021,12,-533,1
2043,2455,14,-670,0
2044,1917,10,-436,0
2045,2031,11,-559,0
2046,2096,13,-501,1

min,,4
max,,17
steps,,8
decimal
