year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,86,274,263,214
1988,149,216,119,167
1989,112,199,92,94
1990,185,179,118,275
1991,118,79,220,236
1992,81,193,254,283
1993,42,263,551,394
1994,65,169,291,186
1995,294,214,188,224
1996,87,184,189,318
1997,79,252,116,151
1998,100,175,138,110
1999,114,202,219,333
2000,122,168,205,399
2001,331,168,144,78
2002,102,172,196,308
2003,119,203,91,277
2004,183,53,111,171
2005,61,146,147,183
2006,202,138,176,170
2007,162,113,86,102
2008,173,337,164,193
2009,158,177,78,264
2010,141,164,147,216
2011,77,118,195,266
2012,60,322,72,306
2013,201,246,164,289
2014,290,122,154,321
2015,119,133,223,153
2016,177,184,131,384
