year,annual-estival-days
1987,52
1988,52
1989,67
1990,54
1991,84
1992,28
1993,41
1994,72
1995,48
1996,51
1997,74
1998,73
1999,69
2000,63
2001,66
2002,54
2003,97
2004,74
2005,74
2006,74
2007,66
2008,61
2009,82
2010,67
2011,83
2012,81
2013,68
2014,46
2015,68
2016,72

min,0
max,100
steps,11
decimal
