year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.9,11.8,18.9,7.7
1988,4.1,12.7,18.0,7.0
1989,5.7,12.4,18.5,7.5
1990,6.2,12.7,18.5,6.0
1991,4.2,11.5,19.7,5.6
1992,3.6,12.5,17.9,6.8
1993,2.7,13.0,16.1,5.2
1994,5.2,12.7,19.2,8.2
1995,4.1,12.5,17.4,7.6
1996,3.9,12.9,16.2,6.5
1997,6.0,13.1,18.7,7.5
1998,5.3,13.0,18.4,5.4
1999,4.0,13.5,19.0,6.1
2000,4.4,14.0,18.1,7.3
2001,5.6,13.2,17.9,6.7
2002,5.5,13.8,17.5,8.0
2003,3.5,15.5,20.2,7.0
2004,3.7,13.1,18.7,7.5
2005,2.6,14.1,18.3,6.2
2006,3.2,14.2,19.3,9.0
2007,5.6,14.9,17.8,6.7
2008,5.2,13.4,17.8,6.5
2009,3.5,14.8,19.6,7.3
2010,2.2,13.0,18.6,5.7
2011,5.0,15.1,18.7,8.6
2012,4.3,14.0,19.4,7.6
2013,2.3,12.1,18.4,7.0
2014,4.6,13.4,17.1,8.1
2015,3.3,13.9,18.4,7.0
2016,4.3,12.9,18.7,6.1
