year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-25,-57,-109,116
1988,22,-46,-279,66
1989,-35,-128,-313,-26
1990,66,-135,-278,183
1991,1,-253,-176,145
1992,-56,-143,-132,166
1993,-63,-26,251,315
1994,-81,-150,-104,83
1995,157,-115,-176,110
1996,-43,-149,-154,205
1997,-84,-95,-267,25
1998,-59,-162,-282,-3
1999,-28,-136,-174,216
2000,-20,-187,-195,290
2001,201,-182,-254,-47
2002,-51,-192,-170,191
2003,-30,-203,-373,151
2004,49,-287,-311,48
2005,-76,-229,-252,71
2006,78,-238,-236,36
2007,21,-242,-318,-32
2008,27,20,-222,80
2009,11,-188,-351,143
2010,27,-158,-264,104
2011,-64,-259,-205,135
2012,-106,-27,-352,186
2013,85,-104,-245,184
2014,173,-243,-196,220
2015,2,-241,-174,63
2016,58,-161,-281,297
