year,A1,A2,A3
,label A1,label A2,label A3
1987,12,3492,83
1988,5,3424,40
1989,11,3919,94
1990,9,3479,73
1991,17,3202,136
1992,19,3317,126
1993,4,3522,66
1994,6,3343,81
1995,16,3518,106
1996,9,3694,89
1997,6,3547,55
1998,7,3247,50
1999,8,3663,92
2000,4,3301,30
2001,13,3542,98
2002,4,3524,30
2003,12,3494,108
2004,10,3436,76
2005,16,3273,101
2006,8,3600,60
2007,7,3525,56
2008,16,3476,133
2009,4,3296,45
2010,3,3416,31
2011,12,3239,105
2012,6,3455,44
2013,6,3432,57
2014,15,3337,105
2015,5,3596,57
2016,7,3330,67
2016
2017,48,2953,315
2018,16,3037,114
2019,40,3064,297
2020,22,2980,150
2021,10,3328,89
2022,9,3100,63
2023,15,2876,132
2024,15,3071,139
2025,22,3188,172
2026,23,3005,188
2027,14,3086,153
2028,45,3014,254
2029,16,3065,155
2030,17,3063,125
2031,43,3104,253
2032,27,2880,179
2033,23,3352,165
2034,18,3394,129
2035,12,2973,89
2036,18,3053,119
2037,26,3054,187
2038,30,2980,200
2039,39,2893,226
2040,5,2969,61
2041,35,2713,239
2042,19,3164,114
2043,23,3296,131
2044,20,2983,163
2045,11,2837,94
2046,21,2726,129

min,,2000
max,,4000
steps,,9
decimal
