year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,68,-6,37,66
1988,189,-89,-35,145
1989,-12,-43,-52,73
1990,148,-11,5,167
1991,88,139,6,213
1992,105,-72,-92,244
1993,-14,-126,9,119
1994,63,-56,-56,69
1995,63,50,-74,102
1996,8,-81,33,108
1997,-5,-102,-157,62
1998,20,15,-13,224
1999,122,124,-26,180
2000,157,41,205,121
2001,165,25,20,133
2002,39,-14,131,235
2003,25,-151,-177,116
2004,122,-67,-116,72
2005,94,-61,4,56
2006,134,110,-90,12
2007,46,-47,41,71
2008,14,-33,15,71
2009,64,-26,-77,93
2010,13,34,75,131
2011,5,-139,33,66
2012,19,-96,-90,155
2013,83,1,-146,76
2014,17,-165,102,102
2015,70,77,-183,57
2016,108,101,-60,49
