year,A1,A2,A3
,label A1,label A2,label A3
1987,12,3617,91
1988,13,3408,90
1989,8,3194,59
1990,0,3913,6
1991,7,3532,79
1992,15,3293,106
1993,8,3205,67
1994,4,3479,55
1995,13,3307,99
1996,2,3668,45
1997,3,3741,29
1998,12,3415,114
1999,19,3562,114
2000,18,3842,135
2001,4,3780,50
2002,13,3206,94
2003,8,3054,87
2004,16,3460,114
2005,4,3676,42
2006,1,3626,26
2007,14,3510,115
2008,1,3554,17
2009,3,3405,38
2010,2,3552,32
2011,4,3200,38
2012,3,3432,24
2013,4,3725,36
2014,2,3787,27
2015,8,3442,59
2016,11,3562,63
2016
2017,14,2811,122
2018,11,2892,82
2019,19,3131,111
2020,18,3123,132
2021,15,3005,125
2022,32,3237,191
2023,12,3136,93
2024,15,3060,111
2025,30,2917,216
2026,13,3065,123
2027,11,2945,124
2028,14,3308,101
2029,10,3199,131
2030,28,2823,159
2031,27,3019,188
2032,11,3013,101
2033,20,3104,123
2034,15,3262,111
2035,18,3075,139
2036,18,2748,130
2037,12,3008,88
2038,26,3286,175
2039,18,2954,133
2040,24,3130,139
2041,17,3268,112
2042,21,2650,147
2043,30,3082,215
2044,5,2947,53
2045,34,3304,207
2046,33,2706,220

min,,2000
max,,4000
steps,,9
decimal
