year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,105,156,0
1988,94,144,0
1989,93,146,0
1990,109,157,0
1991,80,146,0
1992,76,148,0
1993,37,142,1
1994,81,145,0
1995,85,135,0
1996,102,152,0
1997,91,160,0
1998,89,151,0
1999,92,149,0
2000,9,150,0
2001,107,150,0
2002,86,150,0
2003,89,132,1
2004,106,150,0
2005,85,147,0
2006,101,150,0
2007,105,147,0
2008,96,157,0
2009,90,148,0
2010,79,142,0
2011,86,142,0
2012,82,145,0
2013,79,143,0
2014,112,163,0
2015,91,146,0
2016,94,151,0
2016
2017,70,133,0
2018,65,130,0
2019,77,138,0
2020,71,143,0
2021,79,141,1
2022,78,145,0
2023,80,147,0
2024,70,134,0
2025,88,136,0
2026,64,144,0
2027,95,143,0
2028,106,159,1
2029,87,142,0
2030,68,142,0
2031,72,141,0
2032,86,149,0
2033,89,147,0
2034,86,143,1
2035,94,149,0
2036,64,137,0
2037,59,133,1
2038,94,156,0
2039,55,133,1
2040,92,134,0
2041,9,143,0
2042,46,126,0
2043,67,142,0
2044,83,145,0
2045,90,151,0
2046,60,123,0

min,,90,0
max,,190,6
steps,,11,7
decimal
