year,annual-frozen-days
1987,108
1988,87
1989,84
1990,74
1991,92
1992,102
1993,85
1994,49
1995,102
1996,122
1997,109
1998,89
1999,90
2000,57
2001,89
2002,53
2003,108
2004,113
2005,103
2006,92
2007,64
2008,91
2009,96
2010,109
2011,88
2012,77
2013,95
2014,45
2015,110
2016,91
