year,annual-hydric-deficit
1987,175
1988,202
1989,-52
1990,-165
1991,-155
1992,473
1993,708
1994,675
1995,308
1996,219
1997,0
1998,483
1999,868
2000,618
2001,759
2002,1128
2003,251
2004,403
2005,441
2006,350
2007,538
2008,328
2009,326
2010,592
2011,329
2012,468
2013,466
2014,301
2015,336
2016,683
