year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,68,-9,44,71
1988,186,-93,-35,143
1989,-12,-54,-55,68
1990,28,-120,-174,102
1991,1,-42,-160,45
1992,166,-29,-6,341
1993,87,3,412,206
1994,120,113,245,198
1995,107,119,-30,111
1996,3,-82,141,156
1997,24,-52,-81,107
1998,135,-64,91,320
1999,245,297,57,269
2000,240,25,233,121
2001,303,159,96,202
2002,205,108,536,280
2003,133,-100,-12,231
2004,206,56,13,128
2005,174,-17,176,107
2006,184,16,73,76
2007,174,11,215,139
2008,113,-39,120,134
2009,129,94,-82,185
2010,77,109,218,187
2011,29,-1,123,177
2012,113,37,92,227
2013,186,209,-37,108
2014,20,-54,224,111
2015,131,134,-69,140
2016,217,280,82,104
