year,annual-hydric-deficit
1987,-74
1988,-306
1989,-343
1990,-353
1991,-418
1992,-280
1993,-136
1994,-201
1995,-238
1996,-101
1997,-160
1998,-140
1999,-148
2000,-244
2001,-196
2002,-49
2003,-437
2004,-287
2005,-305
2006,-324
2007,-129
2008,-313
2009,-108
2010,-69
2011,-361
2012,-304
2013,-128
2014,-196
2015,-368
2016,-290
