year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-3.2,11.9,16.6,5.6
1988,3.4,13.0,17.1,5.4
1989,4.7,12.7,17.6,5.4
1990,5.6,12.8,16.4,5.4
1991,2.8,10.7,18.3,5.2
1992,3.3,13.4,17.9,4.6
1993,1.6,14.2,15.6,4.0
1994,3.5,13.0,18.4,6.4
1995,3.2,12.0,17.8,4.5
1996,-1.8,12.0,15.2,4.0
1997,2.7,12.2,17.8,4.9
1998,4.6,13.8,16.5,4.1
1999,3.5,13.3,18.5,5.4
2000,4.0,14.5,16.7,7.2
2001,2.8,12.5,17.3,6.1
2002,4.2,13.3,17.5,4.7
2003,1.4,14.3,18.6,5.1
2004,3.0,12.5,17.4,5.8
2005,2.1,13.3,17.4,6.2
2006,-0.4,13.2,19.2,8.8
2007,5.6,14.9,16.6,5.0
2008,4.6,13.4,17.0,5.5
2009,1.2,13.9,18.0,5.9
2010,0.1,12.5,17.4,3.3
2011,2.8,14.6,17.5,6.3
2012,2.6,13.5,17.5,5.7
2013,-0.3,12.5,17.7,6.8
2014,5.0,13.7,17.7,7.3
2015,3.2,13.0,18.6,8.0
2016,3.1,13.6,19.1,5.3
