year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,77,-88,-66,3
1988,40,-242,-153,48
1989,-19,-178,-204,58
1990,-38,-174,-183,42
1991,-41,-143,-220,-15
1992,-7,-188,-149,64
1993,-17,-153,-56,90
1994,35,-108,-128,-1
1995,-3,-105,-130,1
1996,-30,-104,-63,95
1997,24,-177,-48,42
1998,-41,-119,-77,96
1999,20,-91,-149,71
2000,54,-160,-147,9
2001,75,-183,-126,37
2002,-19,-86,-109,164
2003,-16,-185,-259,23
2004,-19,-116,-155,3
2005,0,-173,-137,5
2006,20,-111,-193,-40
2007,21,-109,-53,12
2008,-29,-145,-165,25
2009,14,-92,-148,118
2010,5,-129,-2,58
2011,-38,-221,-76,-25
2012,-40,-118,-178,32
2013,24,-47,-179,74
2014,-47,-105,-52,9
2015,0,-232,-167,31
2016,35,-186,-191,53
