year,F1,F3,M4
,label F1,label F3,label M4
1987,67,134,4
1988,55,129,4
1989,61,133,5
1990,20,123,5
1991,54,117,4
1992,75,133,4
1993,61,129,5
1994,31,114,4
1995,43,127,3
1996,67,135,4
1997,63,122,5
1998,62,133,7
1999,64,132,5
2000,45,114,5
2001,65,125,2
2002,62,128,2
2003,50,121,5
2004,52,122,2
2005,45,121,4
2006,65,131,2
2007,69,130,2
2008,51,127,4
2009,45,140,4
2010,69,139,5
2011,50,129,4
2012,61,121,3
2013,47,131,4
2014,58,123,5
2015,83,140,4
2016,50,126,2
2016
2017,46,127,5
2018,43,128,4
2019,45,128,6
2020,66,126,5
2021,28,124,6
2022,56,136,4
2023,66,131,5
2024,39,127,3
2025,46,111,5
2026,42,121,7
2027,51,126,8
2028,68,126,5
2029,50,116,7
2030,54,124,7
2031,38,117,5
2032,54,138,4
2033,51,124,6
2034,20,116,8
2035,62,118,6
2036,53,129,6
2037,46,110,8
2038,38,136,4
2039,33,114,6
2040,41,126,5
2041,45,119,5
2042,53,127,7
2043,34,122,3
2044,38,121,7
2045,48,128,5
2046,49,127,6
