year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.0,13.6,20.5,8.9
1988,5.9,14.6,19.6,8.2
1989,6.6,14.4,20.3,8.3
1990,7.2,14.6,20.4,7.6
1991,5.5,13.3,21.5,7.0
1992,4.5,14.5,19.9,7.9
1993,4.6,14.9,18.3,7.0
1994,6.7,14.4,21.3,9.6
1995,5.7,14.2,19.6,9.1
1996,5.2,14.8,18.0,8.0
1997,6.8,14.9,20.5,9.0
1998,6.4,14.8,20.1,6.9
1999,5.6,15.3,21.0,7.7
2000,6.1,15.9,20.0,9.1
2001,7.3,15.1,19.6,7.9
2002,6.7,15.1,18.9,9.5
2003,4.8,17.1,22.0,8.1
2004,5.3,14.9,20.6,8.7
2005,4.4,15.7,20.1,7.7
2006,4.4,16.0,21.4,10.2
2007,7.1,16.7,19.5,8.1
2008,6.6,15.1,19.0,7.7
2009,5.1,16.4,21.4,9.0
2010,4.0,14.8,20.5,7.3
2011,6.2,16.8,20.3,9.9
2012,5.7,15.6,20.9,9.0
2013,4.3,13.7,20.1,8.9
2014,7.2,15.6,19.1,10.5
2015,5.8,16.2,20.7,9.6
2016,6.5,14.9,20.9,8.4
