year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1840,13,-325,1
1988,1740,10,-436,1
1989,1458,9,-305,2
1990,1667,12,-254,2
1991,1855,10,-393,0
1992,1860,10,-376,2
1993,1674,8,-539,4
1994,1726,8,-520,0
1995,1627,10,-391,4
1996,1511,10,-464,5
1997,1820,11,-440,1
1998,1785,11,-477,6
1999,1551,11,-408,7
2000,1928,12,-531,0
2001,1719,11,-274,1
2002,1717,11,-322,3
2003,1911,12,-340,2
2004,1662,10,-259,2
2005,1646,10,-334,1
2006,1709,11,-264,1
2007,1928,13,-360,1
2008,1912,11,-377,1
2009,1587,9,-485,4
2010,1773,10,-494,0
2011,1653,10,-336,0
2012,1826,12,-303,0
2013,1792,13,-161,1
2014,1763,10,-479,0
2015,1694,10,-450,3
2016,1715,10,-425,4
2016
2017,2136,12,-260,0
2018,2064,11,-585,4
2019,1770,13,-279,3
2020,2021,12,-405,0
2021,2376,13,-626,4
2022,1882,14,-293,9
2023,2023,13,-530,1
2024,2028,13,-446,0
2025,2108,12,-411,0
2026,2016,12,-449,0
2027,1880,12,-445,1
2028,2023,11,-445,2
2029,2080,10,-508,0
2030,2104,12,-604,0
2031,2087,13,-300,1
2032,1904,12,-393,5
2033,1850,11,-461,0
2034,2307,14,-706,0
2035,1997,11,-436,1
2036,2360,13,-578,1
2037,2303,13,-397,0
2038,2161,13,-602,6
2039,2301,12,-406,2
2040,1988,13,-508,0
2041,2010,11,-400,0
2042,1930,13,-447,0
2043,1803,11,-267,0
2044,2083,13,-442,1
2045,2158,12,-186,0
2046,2153,12,-316,0
