year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,129,-94,-216,84
1988,143,-159,-145,97
1989,-6,-96,-209,-11
1990,-46,-149,-217,71
1991,-22,-197,-242,59
1992,-4,-239,-100,267
1993,48,-162,-84,166
1994,275,-111,-161,126
1995,114,-13,-141,80
1996,59,-157,22,86
1997,3,-24,-56,161
1998,-60,-52,-54,114
1999,10,-187,-219,57
2000,12,-243,-39,25
2001,49,-154,-20,18
2002,-50,-158,-120,89
2003,-36,-252,-147,63
2004,21,-108,-88,19
2005,-21,-109,-68,17
2006,30,-76,-166,-15
2007,1,-271,-147,42
2008,-8,-150,-83,39
2009,25,-215,-246,149
2010,-11,92,-35,64
2011,-23,-182,-141,3
2012,-63,-204,-204,76
2013,78,-137,-296,-4
2014,-10,-169,-38,25
2015,-9,-236,-270,63
2016,40,-221,-119,129
