year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,195,229,122,159
1988,221,160,173,166
1989,79,223,108,62
1990,34,152,87,125
1991,59,109,90,128
1992,85,116,285,337
1993,115,176,241,232
1994,358,212,211,186
1995,182,270,160,129
1996,116,150,270,146
1997,73,262,219,219
1998,29,241,235,167
1999,77,126,129,119
2000,81,127,266,88
2001,119,147,294,81
2002,37,182,231,149
2003,42,100,210,119
2004,94,190,248,84
2005,56,209,241,82
2006,95,225,161,49
2007,91,87,207,105
2008,71,150,225,97
2009,93,138,124,211
2010,74,382,282,130
2011,59,165,194,70
2012,39,123,177,140
2013,154,187,85,66
2014,87,147,283,91
2015,84,105,120,124
2016,125,112,226,180
