year,A1,A2,A3
,label A1,label A2,label A3
1987,4,3121,81
1988,20,3047,161
1989,54,3014,338
1990,63,3098,410
1991,38,3104,296
1992,42,2942,270
1993,41,3164,313
1994,21,3214,156
1995,25,3366,151
1996,17,3149,179
1997,17,3201,180
1998,20,3116,126
1999,17,3014,194
2000,37,3658,269
2001,31,3305,190
2002,39,2989,280
2003,25,2899,187
2004,32,3339,216
2005,30,2811,221
2006,25,2871,212
2007,37,3418,249
2008,36,3104,261
2009,38,2787,260
2010,47,3285,289
2011,24,2984,201
2012,28,3094,215
2013,30,3237,174
2014,22,3553,166
2015,54,3089,361
2016,43,3299,274
2016
2017,37,2689,249
2018,27,2888,222
2019,62,2939,402
2020,56,2678,402
2021,41,2746,319
2022,39,2698,232
2023,12,2954,172
2024,27,3089,198
2025,44,2967,287
2026,50,2790,355
2027,30,2968,305
2028,40,2646,254
2029,33,2676,292
2030,45,3109,360
2031,66,3244,438
2032,18,2970,171
2033,68,2884,450
2034,43,2747,303
2035,48,2653,312
2036,44,2458,352
2037,67,2756,439
2038,66,3024,427
2039,46,2825,308
2040,40,2843,298
2041,32,2765,229
2042,48,2509,369
2043,35,2754,236
2044,43,2605,310
2045,48,3031,320
2046,17,2827,134

min,,2000
max,,4000
steps,,9
decimal
