year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.2,12.0,17.3,6.4
1988,4.3,13.5,16.6,6.5
1989,4.8,12.9,17.6,6.3
1990,6.0,12.8,16.9,6.2
1991,3.0,11.0,19.0,5.0
1992,3.9,13.7,18.0,5.9
1993,3.3,14.5,16.3,5.1
1994,4.7,13.0,18.3,8.0
1995,4.6,12.9,18.1,6.6
1996,1.6,12.9,16.2,5.2
1997,4.0,12.9,18.5,6.4
1998,4.8,13.8,16.9,5.0
1999,4.4,13.7,18.8,5.9
2000,4.9,14.5,17.1,8.1
2001,5.0,13.1,17.3,6.7
2002,4.9,13.9,17.3,7.6
2003,3.3,15.2,19.6,6.2
2004,3.5,13.4,18.0,5.9
2005,3.1,14.4,18.0,7.0
2006,1.8,13.9,19.6,8.8
2007,6.0,16.0,16.4,5.8
2008,5.1,14.1,16.7,5.8
2009,2.4,14.9,18.6,6.9
2010,2.3,13.4,17.7,4.7
2011,5.2,15.7,18.1,8.4
2012,3.9,13.7,18.0,7.1
2013,1.5,12.5,18.2,7.2
2014,6.3,14.4,17.8,8.2
2015,3.5,13.7,19.0,8.5
2016,4.4,13.4,19.1,5.8
