year,A1,A2,A3
,label A1,label A2,label A3
1987,17,2826,137
1988,16,2805,112
1989,16,2706,112
1990,23,2683,144
1991,1,3002,47
1992,32,2779,200
1993,25,2668,193
1994,1,3187,52
1995,10,2950,85
1996,5,2883,57
1997,4,2931,86
1998,5,2818,44
1999,14,2737,147
2000,6,2945,58
2001,20,3141,104
2002,11,2838,75
2003,17,2787,99
2004,4,2748,66
2005,11,3036,89
2006,12,2785,81
2007,14,2841,117
2008,10,2967,89
2009,9,3011,74
2010,12,3154,98
2011,5,2846,53
2012,15,2836,107
2013,15,3079,113
2014,19,3006,137
2015,9,3275,98
2016,17,3142,108
2016
2017,9,2704,99
2018,9,2895,95
2019,16,2671,125
2020,39,2561,252
2021,23,2566,214
2022,19,2507,130
2023,17,2613,156
2024,33,2745,248
2025,27,2865,171
2026,29,2619,237
2027,23,2423,175
2028,25,2705,158
2029,42,2990,358
2030,15,2804,138
2031,17,2725,107
2032,9,2558,80
2033,17,2936,132
2034,22,2591,156
2035,50,3140,335
2036,9,2605,101
2037,35,2793,253
2038,22,2314,165
2039,22,2777,164
2040,18,2651,138
2041,16,2615,130
2042,22,2468,155
2043,28,2549,200
2044,13,2521,107
2045,24,2676,147
2046,42,2809,277

min,,1800
max,,3400
steps,,9
decimal
