year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,68,55,50,82,28,26,30,40,294,57,120,130,103
2001,60,60,50,48,63,22,20,35,35,274,51,105,88,69
2002,68,70,58,50,77,29,25,40,40,279,57,120,72,57
2003,53,57,42,40,54,29,22,38,35,208,42,90,48,37
2004,77,77,66,55,85,39,29,45,43,278,54,130,92,72
2005,70,69,63,50,79,35,30,36,38,255,44,128,82,64
2006,69,66,60,50,70,31,23,38,25,224,41,100,89,68
2007,59,51,49,45,92,30,25,30,35,232,46,140,94,73
2008,70,66,59,50,80,31,25,40,45,223,44,130,87,68
2009,73,69,63,55,90,37,30,50,40,227,48,135,77,57
2010,71,67,55,50,79,32,25,34,32,230,42,120,77,68
2011,62,56,52,48,94,34,28,37,27,470,21,142,69,61
2012,60,61,53,46,84,28,36,45,45,360,12,133,70,62
2013,70,60,53,50,72,27,23,40,36,400,32,98,79,71
2014,64,64,59,48,96,37,25,31,38,500,23,128,70,55
2015,74,67,61,46,53,34,23,29,26,320,50,93,44,35
2016,46,54,39,40,71,27,20,21,18,290,27,95,58,52
2017,60,58,52,40,97,30,34,29,26,300,38,131,68,54
