year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1594,11,-266,6
1988,1352,9,-164,3
1989,1402,11,-205,6
1990,1483,10,-169,5
1991,1309,11,-152,2
1992,1599,9,-174,7
1993,1709,11,-315,5
1994,1233,9,-254,2
1995,1471,10,-227,1
1996,1206,10,-402,7
1997,1377,11,-310,4
1998,1218,11,-205,11
1999,1436,9,-359,0
2000,1236,9,-288,6
2001,1328,12,-175,5
2002,1298,10,-123,3
2003,1376,10,-235,0
2004,1417,11,-311,3
2005,1408,11,-219,2
2006,1175,7,-207,7
2007,1519,9,-347,1
2008,1345,10,-216,5
2009,1399,9,-173,1
2010,1288,12,-202,15
2011,1302,11,-155,3
2012,1421,11,-101,7
2013,1480,10,-330,7
2014,1551,11,-211,3
2015,1177,9,-236,8
2016,1397,10,-94,1
2016
2017,1371,10,-210,7
2018,1312,10,-193,9
2019,1541,12,-292,3
2020,1834,11,-346,1
2021,1737,12,-443,4
2022,1535,12,-271,1
2023,1531,11,-423,1
2024,1724,12,-383,7
2025,1611,12,-243,5
2026,1710,11,-351,10
2027,1638,10,-396,2
2028,1530,11,-287,10
2029,1798,11,-418,3
2030,1341,10,-373,14
2031,1396,11,-230,7
2032,1383,12,-283,9
2033,1284,11,-227,5
2034,1537,11,-348,6
2035,1665,11,-363,7
2036,1537,13,-312,1
2037,1789,11,-415,1
2038,1742,13,-305,0
2039,1606,12,-355,6
2040,1681,10,-209,0
2041,1617,11,-272,5
2042,1630,11,-372,1
2043,1685,11,-196,0
2044,1577,10,-260,0
2045,1547,10,-280,1
2046,1829,12,-324,3
