year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2459,12,-862,42839
1988,2565,14,-847,42818
1989,2540,13,-826,42824
1990,2627,14,-912,42812
1991,2626,14,-915,42815
1992,2548,14,-909,42785
1993,2682,14,-968,42812
1994,2719,14,-954,42819
1995,2628,15,-896,42802
1996,2662,16,-938,42798
1997,2539,14,-804,42808
1998,2511,12,-863,42811
1999,2640,13,-896,42820
2000,2560,14,-961,42831
2001,2672,15,-940,42784
2002,2599,15,-884,42807
2003,2559,14,-883,42819
2004,2581,12,-938,42799
2005,2532,12,-842,42812
2006,2451,13,-855,42850
2007,2687,15,-879,42793
2008,2654,14,-848,42825
2009,2608,14,-953,42831
2010,2450,14,-786,42821
2011,2654,13,-895,42787
2012,2692,14,-913,42809
2013,2841,15,-951,42823
2014,2732,15,-951,42813
2015,2626,12,-894,42799
2016,2572,15,-834,42804
2016
2017,2968,15,-969,42791
2018,2911,15,-957,42802
2019,2682,16,-950,42839
2020,2930,17,-920,42800
2021,3011,15,-1014,42791
2022,2826,15,-889,42794
2023,2924,15,-920,42797
2024,2558,15,-852,42828
2025,2803,13,-938,42785
2026,2714,14,-961,42830
2027,2804,17,-954,42769
2028,2934,16,-975,42785
2029,2894,16,-966,42823
2030,2868,18,-949,42811
2031,2735,15,-776,42782
2032,2795,14,-853,42771
2033,2837,17,-912,42782
2034,3010,18,-1038,42759
2035,2821,17,-882,42849
2036,2850,17,-899,42844
2037,2800,15,-922,42763
2038,3012,16,-979,42769
2039,2535,14,-900,42845
2040,2757,15,-981,42778
2041,3102,15,-1030,42778
2042,3100,19,-1036,42779
2043,2770,16,-936,42767
2044,2573,14,-878,42776
2045,2801,16,-917,42830
2046,2915,16,-915,42810
