year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,133,68,108,194
1988,62,173,34,129
1989,68,162,21,229
1990,50,58,87,122
1991,123,36,63,103
1992,31,163,52,111
1993,36,141,14,163
1994,46,40,12,104
1995,51,53,26,166
1996,139,124,53,209
1997,83,165,60,263
1998,113,174,101,32
1999,36,82,70,168
2000,48,137,34,239
2001,184,58,41,109
2002,109,104,29,204
2003,122,50,48,247
2004,144,131,63,134
2005,61,33,17,177
2006,111,79,13,254
2007,50,111,2,15
2008,70,166,38,89
2009,56,19,19,116
2010,235,119,48,165
2011,72,122,8,74
2012,33,77,78,105
2013,139,82,28,109
2014,116,75,33,155
2015,74,80,40,88
2016,103,141,25,128
