year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,152,479,530,122
1988,174,374,545,129
1989,154,421,526,146
1990,167,430,535,144
1991,138,456,524,122
1992,146,390,482,121
1993,146,382,470,108
1994,164,457,540,117
1995,180,469,524,143
1996,148,428,495,135
1997,171,419,490,137
1998,162,407,549,135
1999,163,471,544,125
2000,162,427,542,138
2001,158,464,534,134
2002,159,462,526,143
2003,160,482,575,131
2004,145,425,537,149
2005,163,488,561,141
2006,154,485,562,143
2007,156,390,498,126
2008,156,388,489,122
2009,171,502,579,169
2010,139,417,515,134
2011,143,441,518,142
2012,174,463,549,129
2013,131,399,498,126
2014,163,469,518,142
2015,169,494,559,136
2016,164,424,532,134
