year,annual-frozen-days
1987,38
1988,49
1989,34
1990,31
1991,25
1992,47
1993,41
1994,34
1995,17
1996,12
1997,8
1998,27
1999,45
2000,25
2001,24
2002,7
2003,24
2004,21
2005,55
2006,31
2007,62
2008,30
2009,33
2010,36
2011,13
2012,31
2013,37
2014,9
2015,25
2016,20
