year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,20,13,-41,100
1988,70,-138,-69,121
1989,-25,-89,-175,86
1990,7,-139,-135,98
1991,-17,-181,-110,54
1992,32,-169,-105,92
1993,-66,-186,-116,90
1994,35,-32,-92,36
1995,58,-11,-21,28
1996,-25,-58,-145,146
1997,-3,-113,-177,97
1998,-35,-64,-141,87
1999,95,-100,-88,148
2000,31,-97,-58,79
2001,97,-124,-120,84
2002,2,-79,-20,160
2003,-28,-179,-262,65
2004,26,-151,-150,138
2005,16,-155,-125,32
2006,26,-154,-77,84
2007,59,-172,-56,23
2008,-5,-119,-86,66
2009,55,-184,-140,112
2010,-7,-79,-47,153
2011,-37,-219,-70,46
2012,-37,-141,-130,136
2013,-8,-10,-148,88
2014,-30,-201,22,57
2015,23,-159,-217,22
2016,73,111,-202,24
