year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,5,5,-73,2,2,-195,48,22,87
1988,22,9,-88,6,5,-214,52,26,116
1989,16,6,-38,3,4,-146,54,38,143
1990,30,7,-114,3,0,-148,39,24,148
1991,33,7,-137,7,4,-356,40,31,138
1992,7,0,-29,3,0,-152,58,42,78
1993,30,10,-127,3,3,-258,39,20,113
1994,15,11,-126,3,3,-270,57,35,153
1995,20,0,-64,6,0,-88,53,34,155
1996,8,1,-53,3,1,-207,60,11,93
1997,19,6,-121,4,13,-357,48,45,119
1998,15,3,-114,7,2,-224,60,15,139
1999,29,3,-83,3,4,-258,34,28,98
2000,4,6,-57,3,1,-190,61,37,137
2001,7,1,-61,3,0,-116,43,33,123
2002,7,13,-57,5,3,-123,50,31,173
2003,13,3,-46,2,6,-156,49,34,131
2004,15,5,-101,2,3,-153,58,31,192
2005,19,2,-31,3,7,-147,68,19,133
2006,30,6,-66,1,1,-182,50,38,98
2007,6,8,-61,7,0,-212,67,6,113
2008,11,6,-15,3,0,-76,49,27,134
2009,21,5,-120,4,3,-230,48,30,136
2010,22,1,-26,2,5,-171,61,36,104
2011,20,3,-103,4,3,-157,40,29,160
2012,20,2,-111,2,4,-261,32,32,103
2013,22,5,-77,4,2,-198,49,41,111
2014,9,6,-75,4,3,-214,40,30,132
2015,14,3,-74,1,1,-146,54,36,90
2016,10,2,-24,3,1,-138,44,18,73
2016
2017,26,0,-163,6,6,-344,38,14,100
2018,18,6,-18,4,3,-153,55,16,149
2019,22,4,-152,3,2,-350,45,34,56
2020,16,7,-60,4,2,-251,46,18,54
2021,22,5,-128,3,10,-340,55,11,109
2022,24,6,-69,3,4,-211,45,18,127
2023,33,9,-194,3,11,-431,47,31,71
2024,27,0,-128,4,13,-335,50,14,74
2025,16,9,-7,2,10,-185,59,6,116
2026,21,9,-134,4,6,-328,47,8,99
2027,38,9,-120,6,4,-297,44,6,63
2028,19,3,-163,4,10,-337,49,27,97
2029,32,2,-166,6,14,-406,50,6,178
2030,33,18,-144,5,5,-382,48,19,126
2031,36,3,-137,6,4,-317,33,8,81
2032,31,5,-36,4,16,-187,47,2,126
2033,9,3,-9,2,2,-154,60,17,118
2034,42,4,-101,6,5,-318,31,19,65
2035,22,2,17,3,8,-155,57,27,81
2036,25,7,-100,3,5,-266,47,17,134
2037,28,2,-103,5,4,-261,40,12,126
2038,22,12,-105,3,3,-288,60,18,121
2039,20,2,13,2,7,-140,53,16,74
2040,18,8,-34,5,4,-244,60,13,81
2041,16,1,-87,3,4,-239,46,16,121
2042,20,2,-154,9,7,-238,60,8,178
2043,35,4,-168,5,12,-323,49,12,126
2044,30,5,-158,5,2,-359,47,6,88
2045,28,6,-113,5,1,-334,50,29,76
2046,12,1,-31,2,2,-195,64,15,127

min,,,,0
max,,,,14
steps,,,,8
decimal
