year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.1,12.5,18.3,6.5
1988,4.7,14.0,17.4,6.6
1989,5.1,13.4,18.2,6.0
1990,6.0,13.5,17.4,6.2
1991,3.1,12.0,19.5,5.1
1992,4.1,14.3,19.0,6.2
1993,3.6,15.3,17.1,5.5
1994,5.1,13.8,19.0,8.0
1995,4.7,13.2,18.2,6.5
1996,1.6,13.5,16.3,5.5
1997,4.0,13.4,18.5,6.2
1998,5.1,14.6,17.4,5.3
1999,4.4,14.4,19.1,6.0
2000,5.2,15.3,17.7,8.4
2001,5.4,13.7,17.9,6.6
2002,5.1,14.6,17.5,7.8
2003,3.3,16.1,20.0,6.1
2004,3.9,13.9,18.4,6.2
2005,3.2,15.0,18.1,6.6
2006,1.7,14.5,19.7,8.9
2007,6.4,16.3,16.9,5.7
2008,5.3,14.8,17.2,6.2
2009,2.3,15.5,18.8,7.3
2010,2.5,13.8,17.9,5.0
2011,4.8,16.0,18.1,7.4
2012,3.9,14.6,18.3,7.1
2013,1.9,13.6,19.3,7.5
2014,6.9,15.8,18.3,8.7
2015,4.2,15.1,20.1,8.7
2016,5.0,14.2,20.2,6.0
