year,annual-precipitations
1987,811
1988,734
1989,598
1990,624
1991,521
1992,628
1993,520
1994,679
1995,905
1996,800
1997,722
1998,818
1999,1026
2000,969
2001,1026
2002,1002
2003,571
2004,846
2005,704
2006,830
2007,813
2008,723
2009,709
2010,778
2011,687
2012,913
2013,964
2014,932
2015,561
2016,838
