year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,102,276,258,176
1988,159,156,233,185
1989,68,221,143,166
1990,119,152,175,178
1991,71,104,226,120
1992,121,139,207,162
1993,37,133,185,166
1994,122,246,206,106
1995,198,248,327,132
1996,63,220,244,273
1997,95,256,153,219
1998,106,300,206,205
1999,230,246,278,272
2000,183,260,331,194
2001,271,322,250,183
2002,116,245,316,324
2003,96,152,151,172
2004,167,194,196,290
2005,112,236,236,120
2006,158,245,241,186
2007,192,261,244,117
2008,113,199,276,136
2009,174,150,185,200
2010,100,181,299,199
2011,98,212,226,151
2012,111,290,231,282
2013,139,286,242,297
2014,128,144,467,192
2015,148,192,108,114
2016,204,399,130,106
