year,annual-frozen-days
1987,71
1988,36
1989,60
1990,44
1991,62
1992,40
1993,52
1994,25
1995,59
1996,87
1997,80
1998,69
1999,48
2000,35
2001,61
2002,47
2003,83
2004,70
2005,68
2006,80
2007,51
2008,65
2009,70
2010,79
2011,52
2012,52
2013,82
2014,31
2015,55
2016,53
