year,A1,A2,A3
,label A1,label A2,label A3
1987,41,2741,264
1988,46,2807,298
1989,23,2712,143
1990,20,2694,159
1991,13,2769,152
1992,18,2591,112
1993,42,2827,317
1994,24,2722,197
1995,46,2470,293
1996,18,2683,177
1997,11,2571,130
1998,31,2459,198
1999,31,3003,253
2000,17,2922,155
2001,30,3175,192
2002,36,2725,213
2003,42,2717,271
2004,28,2840,188
2005,37,2851,278
2006,18,2756,133
2007,40,2496,259
2008,29,2876,193
2009,12,2925,82
2010,24,2911,182
2011,17,2498,123
2012,17,2962,112
2013,37,2777,228
2014,19,2616,145
2015,46,2895,273
2016,9,2719,94
2016
2017,32,2771,237
2018,30,2478,213
2019,47,2477,300
2020,53,2452,331
2021,45,2503,322
2022,74,2639,500
2023,56,2311,381
2024,35,2643,272
2025,56,2398,328
2026,36,2438,276
2027,45,2311,332
2028,31,2733,233
2029,31,2624,269
2030,25,2651,218
2031,58,2213,351
2032,63,2721,420
2033,41,2349,273
2034,53,2329,305
2035,64,2602,352
2036,45,2335,289
2037,77,2325,533
2038,53,2600,349
2039,28,2279,197
2040,57,2290,375
2041,35,2459,226
2042,35,2425,241
2043,41,2674,317
2044,50,2513,318
2045,40,2555,252
2046,52,2590,413
