year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,31,-161,-111,201
1988,175,-125,-142,52
1989,120,-167,-308,78
1990,49,-162,-256,136
1991,114,-137,-237,77
1992,-28,-187,-152,205
1993,-20,-24,-165,143
1994,106,-112,-69,151
1995,199,-188,-190,45
1996,79,-244,-252,123
1997,31,-112,-255,143
1998,32,-55,-146,164
1999,41,-78,-101,198
2000,40,-57,-56,256
2001,220,-135,-27,62
2002,68,-142,-102,204
2003,18,-157,-290,109
2004,101,-205,-172,112
2005,-7,-141,-239,101
2006,92,-230,-208,92
2007,69,-111,-31,92
2008,98,-142,-152,77
2009,22,-132,-279,135
2010,79,-187,-251,141
2011,16,-294,-101,80
2012,-41,31,-182,299
2013,120,-55,-227,160
2014,88,-147,-110,93
2015,21,-175,-172,78
2016,119,-9,-313,23
