year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,67,55,52,84,49,27,26,30,43,35,40,133,75,67,480
2001,60,52,44,83,45,25,21,37,37,29,33,130,75,46,450
2002,76,66,60,89,45,33,28,45,47,29,36,125,74,54,530
2003,60,50,50,82,55,29,27,25,39,24,28,114,50,40,500
2004,75,63,60,84,45,31,26,40,38,29,47,115,74,54,470
2005,71,62,60,83,55,38,26,25,42,29,40,100,74,54,470
2006,66,57,48,79,55,24,25,,38,22,34,110,53,38,460
2007,64,53,50,95,50,29,27,,31,24,24,128,78,61,507
2008,72,70,58,87,60,34,28,19,49,27,30,129,80,53,569
2009,76,69,66,76,58,38,28,18,46,33,39,104,75,52,572
2010,70,61,55,84,50,31,26,21,44,30,33,144,45,35,500
2011,64,55,54,95,57,34,30,18,31,25,39,112,44,38,584
2012,74,70,60,82,52,37,25,18,37,29,16,121,87,66,372
2013,70,62,56,78,57,29,25,19,47,33,35,113,70,56,707
2014,74,69,58,102,59,38,28,24,41,37,32,137,90,74,492
2015,80,75,60,83,53,35,21,20,40,30,34,94,76,62,530
2016,51,51,30,70,52,35,27,21,30,23,19,86,67,45,492
2017,74,69,60,100,64,41,32,29,39,31,32,117,72,60,495
