year,annual-average-temperature
1987,10.7
1988,11.9
1989,12.6
1990,12.7
1991,11.4
1992,11.8
1993,11.1
1994,12.6
1995,12.5
1996,11.1
1997,12.4
1998,12.0
1999,12.7
2000,12.5
2001,12.2
2002,12.6
2003,12.9
2004,12.2
2005,12.5
2006,12.8
2007,12.4
2008,12.0
2009,12.3
2010,11.4
2011,13.3
2012,12.1
2013,11.8
2014,13.2
2015,13.0
2016,12.4

min,9
max,15
steps,7
decimal
