year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,109,119,197,273
1988,276,147,135,122
1989,204,157,48,172
1990,150,135,109,208
1991,194,111,75,140
1992,66,124,160,286
1993,83,243,144,220
1994,191,180,229,222
1995,298,105,161,127
1996,176,71,101,200
1997,123,201,81,230
1998,135,237,167,232
1999,136,209,229,275
2000,128,223,244,334
2001,306,173,270,142
2002,172,157,198,284
2003,132,173,86,183
2004,199,116,148,185
2005,85,174,91,187
2006,174,80,136,169
2007,163,190,243,165
2008,194,148,146,142
2009,112,165,62,214
2010,176,135,74,215
2011,114,56,196,160
2012,62,309,131,369
2013,199,208,125,239
2014,199,157,193,175
2015,112,158,183,167
2016,223,247,43,99
