year,annual-hydric-deficit
1987,-41
1988,-41
1989,-277
1990,-233
1991,-183
1992,-162
1993,-66
1994,75
1995,-135
1996,-293
1997,-192
1998,-6
1999,60
2000,183
2001,119
2002,29
2003,-320
2004,-164
2005,-285
2006,-253
2007,19
2008,-119
2009,-254
2010,-219
2011,-299
2012,106
2013,-2
2014,-76
2015,-247
2016,-180
