year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,11,0,-165,8,1,-401,52,15,76
1988,13,0,-150,7,0,-315,55,16,98
1989,12,0,-151,6,3,-340,54,21,39
1990,18,0,-82,7,6,-273,68,18,63
1991,29,2,-199,5,4,-404,46,11,64
1992,11,1,-56,7,0,-192,59,4,62
1993,18,2,-177,5,1,-348,44,10,89
1994,15,2,-181,4,1,-367,56,6,77
1995,14,5,-158,7,2,-329,52,11,120
1996,18,3,-129,7,7,-393,58,17,73
1997,19,1,-170,8,5,-361,50,14,85
1998,17,0,-155,8,5,-280,57,15,77
1999,10,3,-143,6,0,-363,56,6,61
2000,17,0,-229,8,2,-413,52,6,119
2001,14,5,-96,6,0,-192,58,10,82
2002,6,0,-19,4,1,-132,64,8,101
2003,15,1,-164,6,0,-334,52,17,119
2004,9,1,-134,9,0,-304,67,14,70
2005,11,0,-50,5,2,-210,64,19,64
2006,8,1,-112,7,3,-336,62,9,115
2007,20,1,-142,7,5,-308,40,28,107
2008,23,0,-143,7,8,-305,46,8,130
2009,10,0,-55,5,4,-187,58,17,114
2010,18,0,-134,6,1,-271,53,4,90
2011,6,0,-54,5,3,-163,57,11,113
2012,12,0,-95,4,0,-235,64,17,60
2013,11,0,-147,8,0,-319,65,23,74
2014,11,5,-81,4,1,-272,56,7,60
2015,7,6,-114,6,0,-253,65,10,92
2016,13,0,-68,7,1,-263,64,6,32
2016
2017,19,1,-115,6,1,-328,52,15,69
2018,24,1,-145,8,1,-352,48,1,62
2019,23,0,-165,7,2,-405,48,10,50
2020,21,2,-188,10,3,-372,46,2,78
2021,26,0,-203,5,3,-415,52,14,110
2022,9,1,-131,6,1,-336,44,12,51
2023,10,0,-193,7,2,-460,64,9,63
2024,25,1,-219,6,8,-467,48,5,84
2025,17,3,-138,8,1,-330,43,11,102
2026,23,1,-217,5,10,-489,38,1,45
2027,27,2,-184,6,2,-438,48,7,31
2028,35,3,-121,4,6,-311,40,16,82
2029,18,2,-203,6,2,-417,56,18,19
2030,14,3,-158,6,1,-348,50,10,132
2031,23,4,-202,6,6,-419,33,2,74
2032,28,6,-118,6,9,-279,45,13,82
2033,32,1,-121,7,6,-369,40,8,86
2034,18,4,-129,5,4,-361,57,9,45
2035,16,0,-154,6,0,-352,60,6,60
2036,35,0,-127,5,2,-286,36,2,65
2037,36,1,-147,5,10,-351,41,11,102
2038,32,1,-105,6,12,-356,38,7,77
2039,13,0,-68,6,1,-274,59,6,83
2040,24,2,-156,9,1,-358,42,10,115
2041,18,0,-71,5,3,-288,54,3,26
2042,36,1,-188,4,6,-397,37,21,57
2043,29,1,-171,6,2,-347,44,3,73
2044,18,1,-130,3,2,-338,32,6,127
2045,21,0,-156,9,9,-397,59,1,54
2046,14,2,-139,4,8,-362,58,15,52

min,,,,0
max,,,,14
steps,,,,8
decimal
