year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,146,138,181,387
1988,315,179,232,172
1989,228,118,142,298
1990,224,110,133,285
1991,219,129,162,260
1992,171,151,289,278
1993,148,357,184,293
1994,302,131,249,344
1995,311,86,121,294
1996,182,159,112,239
1997,109,214,220,350
1998,262,309,203,301
1999,241,205,299,331
2000,186,213,224,525
2001,219,137,237,267
2002,256,236,156,430
2003,125,141,158,286
2004,205,172,242,389
2005,129,181,277,464
2006,268,258,121,354
2007,282,259,211,411
2008,370,257,349,308
2009,243,168,273,360
2010,221,103,241,276
2011,224,153,201,333
2012,169,307,238,481
2013,293,171,216,515
2014,539,209,162,518
2015,300,204,315,558
2016,487,227,284,312
