year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,795,10,8,0
1988,800,10,3,0
1989,772,11,-183,1
1990,905,11,-81,1
1991,860,10,-300,3
1992,912,12,-148,1
1993,840,10,-344,2
1994,873,11,-162,1
1995,701,11,-124,0
1996,714,11,-331,6
1997,897,11,-347,2
1998,954,10,-223,1
1999,767,11,-265,1
2000,798,11,-142,0
2001,752,11,-79,0
2002,808,12,-68,2
2003,859,12,13,0
2004,1048,13,-148,0
2005,765,10,-37,4
2006,860,12,-116,0
2007,788,12,-57,6
2008,858,12,-205,1
2009,829,11,-179,4
2010,772,11,-123,7
2011,763,11,-16,3
2012,842,11,-3,0
2013,920,12,-154,0
2014,767,11,-51,3
2015,832,12,14,4
2016,852,11,-80,0
2016
2017,840,12,-110,2
2018,908,11,-110,1
2019,951,12,-84,1
2020,840,11,-51,0
2021,911,12,-215,0
2022,997,13,-86,0
2023,1017,13,-340,0
2024,927,13,-212,0
2025,1006,13,-94,0
2026,881,12,-215,0
2027,965,12,-324,0
2028,950,11,-94,1
2029,948,12,-371,0
2030,896,12,-249,4
2031,908,12,25,0
2032,924,12,-130,0
2033,979,12,-165,0
2034,983,12,-174,0
2035,834,12,-98,1
2036,946,12,-39,0
2037,905,11,-137,3
2038,946,12,-83,0
2039,899,12,-110,0
2040,1047,13,-46,0
2041,945,12,-12,1
2042,956,12,-165,0
2043,1041,11,-219,0
2044,1002,13,-135,0
2045,979,13,-103,0
2046,1004,12,-180,0
