year,annual-precipitations
1987,852
1988,898
1989,786
1990,752
1991,770
1992,889
1993,981
1994,1026
1995,811
1996,692
1997,893
1998,1074
1999,1076
2000,1148
2001,859
2002,1077
2003,710
2004,1008
2005,1050
2006,1001
2007,1163
2008,1284
2009,1045
2010,840
2011,911
2012,1195
2013,1194
2014,1428
2015,1377
2016,1310
