year,F1,F3,M4
,label F1,label F3,label M4
1987,141,179,6
1988,123,164,3
1989,120,164,2
1990,132,169,5
1991,115,160,4
1992,121,163,5
1993,122,168,4
1994,128,179,3
1995,121,172,0
1996,123,169,3
1997,104,162,3
1998,129,169,2
1999,103,161,1
2000,95,159,2
2001,103,152,2
2002,130,172,6
2003,127,163,1
2004,132,172,1
2005,129,165,2
2006,120,166,4
2007,117,164,2
2008,130,173,4
2009,119,160,1
2010,107,165,2
2011,128,166,1
2012,127,169,1
2013,95,163,0
2014,106,171,1
2015,109,160,4
2016,122,173,1
2016
2017,118,165,2
2018,124,162,3
2019,102,158,0
2020,107,155,0
2021,106,158,2
2022,112,163,2
2023,121,167,2
2024,113,159,4
2025,118,163,2
2026,122,164,0
2027,104,169,3
2028,110,173,3
2029,86,153,3
2030,118,164,2
2031,97,162,2
2032,95,150,4
2033,117,169,1
2034,99,162,2
2035,111,158,2
2036,110,169,3
2037,110,155,2
2038,108,151,3
2039,97,155,5
2040,115,163,4
2041,112,165,3
2042,119,174,1
2043,115,160,4
2044,102,152,3
2045,123,160,3
2046,106,156,2

min,15-Mar,19-May
max,29-May,18-Jul
steps,6,5
decimal
