year,annual-average-temperature
1987,4.2
1988,6.4
1989,7.6
1990,7.2
1991,6.7
1992,7.5
1993,4.8
1994,5.6
1995,7.1
1996,5.4
1997,6.5
1998,6.3
1999,7.3
2000,7.9
2001,6.9
2002,7.2
2003,6.8
2004,6.7
2005,6.3
2006,6.9
2007,7.3
2008,7.6
2009,6.3
2010,5.2
2011,7.3
2012,5.8
2013,6.8
2014,7.3
2015,7.8
2016,6.8

min,2
max,9
steps,8
decimal,1
