year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,76,100,313,102
1988,136,93,264,215
1989,151,85,132,258
1990,235,73,283,226
1991,139,167,126,409
1992,188,80,176,305
1993,197,147,243,133
1994,177,176,263,259
1995,203,264,191,158
1996,86,114,154,228
1997,134,265,230,218
1998,144,195,208,169
1999,203,134,123,211
2000,142,96,135,263
2001,148,216,355,244
2002,233,126,186,142
2003,101,141,164,196
2004,152,185,212,213
2005,85,141,213,151
2006,44,121,135,279
2007,176,104,221,242
2008,208,126,251,283
2009,133,138,215,289
2010,129,181,330,271
2011,125,92,368,290
2012,223,255,271,268
2013,98,111,192,236
2014,121,138,284,177
2015,161,165,203,199
2016,200,191,228,126
