year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-EMU,label C2-EMU,label C3-EMU,label C12-EMU,label M1,label M2,label M8-EMU,label Co2,label Co3-EMU
1987,11,4,-114,4,1,-247,48,59,26
1988,11,1,-182,4,3,-279,35,44,28
1989,25,0,-169,2,1,-222,34,21,85
1990,5,0,-141,4,0,-241,39,44,74
1991,11,0,-228,3,0,-345,33,46,39
1992,15,0,-69,7,6,-273,44,42,38
1993,9,0,-218,0,0,-317,49,33,85
1994,9,0,-130,3,0,-267,57,58,42
1995,3,0,-48,3,0,-181,45,43,48
1996,6,2,-138,1,0,-161,41,56,143
1997,20,0,-182,5,0,-259,33,53,65
1998,10,1,-105,2,0,-195,36,36,44
1999,3,0,-199,2,0,-235,40,37,66
2000,4,0,-54,5,0,-228,40,43,49
2001,2,0,-127,0,0,-105,52,41,102
2002,21,0,-190,2,2,-235,46,51,84
2003,9,0,-84,2,0,-200,38,35,70
2004,6,0,-147,2,0,-159,43,49,99
2005,4,0,-164,4,0,-202,33,38,34
2006,8,0,-130,4,0,-265,46,62,41
2007,7,0,-144,2,0,-172,48,58,100
2008,2,0,-123,3,0,-218,36,64,43
2009,5,0,-200,2,0,-287,40,32,54
2010,4,0,-135,3,0,-272,51,47,34
2011,11,0,-122,1,0,-177,34,60,59
2012,13,0,-97,3,0,-188,38,43,52
2013,15,0,-101,3,0,-184,43,48,70
2014,3,2,-86,2,0,-99,57,44,57
2015,2,0,-142,3,0,-200,36,43,89
2016,14,0,44,5,0,-53,50,44,33
2016
2017,4,0,-181,3,0,-222,42,38,77
2018,1,0,-139,4,0,-182,40,35,68
2019,12,0,-157,0,0,-86,32,24,148
2020,12,0,-153,0,0,-98,30,32,121
2021,15,0,-258,0,1,-264,23,37,117
2022,13,0,-189,4,0,-219,35,39,24
2023,3,0,-195,3,0,-267,45,30,58
2024,18,0,-331,2,0,-386,31,22,45
2025,12,0,-162,1,0,-146,32,42,108
2026,1,0,-162,2,0,-225,40,49,76
2027,7,0,-186,4,0,-242,45,32,92
2028,6,0,-118,2,0,-177,48,46,71
2029,10,0,-254,3,0,-392,35,31,27
2030,4,0,-185,3,0,-288,38,46,60
2031,6,0,-97,5,0,-189,42,42,23
2032,12,0,-178,3,0,-262,38,43,58
2033,4,0,-95,4,0,-198,46,30,50
2034,8,0,-120,2,0,-210,38,37,47
2035,7,0,-89,0,0,-61,26,39,128
2036,5,0,-119,4,0,-171,50,30,42
2037,5,0,-85,4,0,-131,42,32,86
2038,15,0,-162,3,0,-211,27,49,97
2039,13,0,-199,2,1,-357,29,39,38
2040,7,0,-126,3,0,-197,44,45,66
2041,2,0,-108,3,0,-205,44,32,77
2042,8,0,-174,0,1,-254,44,35,41
2043,10,0,-194,2,0,-228,36,39,48
2044,4,0,-218,3,0,-226,44,35,89
2045,15,3,-214,2,2,-276,18,38,104
2046,7,0,-125,5,0,-91,31,27,95

min,,,,,,,16
max,,,,,,,64
steps,,,,,,,7
decimal
