year,A1,A2,A3
,label A1,label A2,label A3
1987,3,3487,33
1988,3,3644,41
1989,4,3723,40
1990,0,3390,26
1991,0,3476,5
1992,0,3674,10
1993,0,3548,7
1994,4,3731,55
1995,1,3581,23
1996,0,3451,8
1997,0,3598,7
1998,1,3952,20
1999,0,3711,13
2000,0,3649,0
2001,4,3552,33
2002,1,3568,11
2003,0,3621,23
2004,0,3830,49
2005,1,3537,13
2006,6,3610,53
2007,1,3595,17
2008,2,3650,34
2009,5,3791,48
2010,0,3794,16
2011,0,3736,17
2012,0,3747,3
2013,2,3767,35
2014,0,3490,21
2015,1,3599,48
2016,1,3854,15
2016
2017,0,3286,14
2018,0,3125,31
2019,0,3228,36
2020,1,3310,61
2021,0,3390,45
2022,0,3252,32
2023,1,3425,45
2024,0,3125,35
2025,5,3334,66
2026,10,3299,78
2027,0,3592,15
2028,0,3481,34
2029,0,3173,5
2030,1,3376,32
2031,2,3144,21
2032,5,3251,49
2033,1,3299,18
2034,5,3028,26
2035,3,3365,48
2036,6,3492,68
2037,4,3291,45
2038,0,3186,15
2039,1,3259,17
2040,3,3172,39
2041,2,3202,22
2042,1,3115,38
2043,4,3126,32
2044,0,3150,14
2045,3,3197,48
2046,1,3231,56

min,,2400
max,,5100
steps,,10
decimal
