year,F1,F3,M4
,label F1,label F3,label M4
1987,106,167,3
1988,119,175,2
1989,119,177,3
1990,113,168,3
1991,97,162,2
1992,110,173,4
1993,119,173,4
1994,125,171,5
1995,112,173,4
1996,85,176,4
1997,116,176,7
1998,124,175,3
1999,122,174,2
2000,113,172,3
2001,104,167,4
2002,108,169,4
2003,118,168,3
2004,127,172,4
2005,111,168,2
2006,125,175,2
2007,113,168,5
2008,114,165,1
2009,123,171,2
2010,117,176,2
2011,109,169,3
2012,121,175,4
2013,116,174,2
2014,96,166,1
2015,120,172,3
2016,124,173,2
2016
2017,103,165,2
2018,49,163,3
2019,104,160,4
2020,116,163,4
2021,103,172,3
2022,86,166,5
2023,112,175,1
2024,79,151,3
2025,105,162,3
2026,106,169,2
2027,120,177,5
2028,117,168,1
2029,101,164,2
2030,111,158,1
2031,95,159,4
2032,94,164,3
2033,113,170,1
2034,75,157,3
2035,100,167,2
2036,110,170,2
2037,109,172,1
2038,96,162,2
2039,101,160,3
2040,90,165,2
2041,97,161,2
2042,75,153,5
2043,86,160,4
2044,113,163,3
2045,99,165,3
2046,100,158,1

min,,19-May
max,,18-Jul
steps,,4
decimal
