year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,122,-171,-174,35
1988,47,-72,-134,-23
1989,-36,-220,-140,24
1990,-28,-236,-169,21
1991,-15,-142,-249,-19
1992,116,-141,-2,216
1993,145,-139,131,213
1994,326,71,-62,175
1995,86,-67,-96,5
1996,49,-68,-142,85
1997,-34,-156,-267,118
1998,65,-91,-121,70
1999,67,-92,-182,82
2000,32,-175,-43,189
2001,53,-83,-29,109
2002,90,-201,-223,230
2003,-6,-174,-51,88
2004,26,-190,-161,76
2005,52,-161,-85,121
2006,11,-189,-167,123
2007,54,-201,-34,55
2008,22,-192,-135,128
2009,10,-143,-88,101
2010,6,-108,-57,97
2011,-5,-197,-69,49
2012,18,-135,-74,110
2013,-20,-176,-104,52
2014,22,-158,-107,73
2015,41,-51,-125,35
2016,28,-109,-97,96
