year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-44,-362,-389,76
1988,-127,-116,-455,-136
1989,-157,-351,-456,83
1990,-56,-240,-447,-74
1991,65,-298,-441,49
1992,105,-134,-119,117
1993,-28,-195,-376,100
1994,-196,-365,-322,-17
1995,-219,-392,-424,92
1996,101,-351,-394,163
1997,-154,-282,-349,0
1998,-133,-358,-473,-53
1999,-158,-232,-339,103
2000,-155,-240,-441,-18
2001,-73,-435,-447,-81
2002,-132,-37,-332,-44
2003,31,-362,-476,205
2004,28,-98,-457,-34
2005,25,-356,-463,193
2006,145,-444,-397,-69
2007,-77,-274,-463,-134
2008,-126,-321,-434,60
2009,-64,-231,-471,-130
2010,53,-296,-485,9
2011,98,-308,-431,231
2012,-199,-303,-444,1
2013,40,-282,-447,-52
2014,-152,-387,-236,94
2015,-29,-378,-439,-88
2016,-90,-373,-535,-41
