year,annual-average-temperature
1987,15.6
1988,15.9
1989,16.3
1990,16.2
1991,15.5
1992,15.3
1993,15.3
1994,16.6
1995,16.3
1996,15.7
1997,16.7
1998,16.1
1999,16.1
2000,16.2
2001,16.3
2002,16.1
2003,16.6
2004,16.0
2005,15.5
2006,16.6
2007,16.4
2008,16.2
2009,16.6
2010,15.5
2011,16.9
2012,16.4
2013,15.8
2014,17.1
2015,16.9
2016,16.9

min,13
max,19
steps,7
decimal


