year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,8.4,16.8,23.6,13.4
1988,10.5,17.4,22.6,12.8
1989,10.3,17.8,23.7,13.3
1990,11.4,17.7,23.4,12.2
1991,9.5,16.2,24.5,11.7
1992,9.1,17.0,22.3,12.6
1993,9.6,17.7,21.9,12.0
1994,11.1,17.5,23.7,13.9
1995,10.6,17.5,23.2,13.6
1996,9.8,18.0,22.1,12.8
1997,11.6,17.9,23.2,13.9
1998,11.0,17.8,23.3,12.0
1999,10.4,18.1,23.7,12.2
2000,10.8,17.9,22.8,13.4
2001,11.1,18.7,23.1,12.4
2002,11.2,17.9,22.0,13.4
2003,9.1,19.3,24.9,12.9
2004,9.6,17.7,23.6,13.1
2005,8.2,18.5,23.2,11.8
2006,9.2,18.9,24.3,13.9
2007,11.1,19.0,22.6,12.9
2008,11.2,18.3,22.8,12.5
2009,9.7,18.6,24.3,13.5
2010,8.1,17.9,23.8,11.8
2011,10.1,19.0,23.5,14.9
2012,10.0,18.5,23.5,13.4
2013,9.1,16.7,24.2,13.2
2014,11.1,19.1,23.3,14.9
2015,10.2,19.3,23.8,14.0
2016,11.0,18.1,24.7,13.6
