year,annual-frozen-days
1987,95
1988,77
1989,79
1990,100
1991,115
1992,58
1993,77
1994,47
1995,73
1996,104
1997,75
1998,72
1999,64
2000,42
2001,72
2002,51
2003,83
2004,99
2005,77
2006,79
2007,41
2008,64
2009,66
2010,87
2011,59
2012,56
2013,75
2014,24
2015,51
2016,54
