year,A1,A2,A3
,label A1,label A2,label A3
1987,5,3425,61
1988,9,3303,83
1989,26,3036,197
1990,11,3343,94
1991,10,3229,79
1992,3,3180,31
1993,18,3025,152
1994,14,3267,126
1995,7,3328,65
1996,6,3254,68
1997,17,3291,144
1998,21,3450,151
1999,5,2991,74
2000,3,2978,66
2001,8,3111,70
2002,14,3001,110
2003,26,2745,179
2004,8,3141,80
2005,25,2908,176
2006,12,3197,112
2007,13,3165,116
2008,28,3167,163
2009,7,3325,68
2010,11,3314,79
2011,10,3127,80
2012,29,3113,184
2013,3,3167,35
2014,19,2865,149
2015,13,3169,90
2016,12,3206,106
2016
2017,21,2782,168
2018,17,2848,142
2019,37,2934,228
2020,13,2574,110
2021,20,2709,184
2022,20,2931,139
2023,16,2794,126
2024,30,2586,263
2025,37,2769,238
2026,12,2740,115
2027,11,2669,114
2028,29,2628,189
2029,35,2935,234
2030,21,3238,180
2031,25,2552,160
2032,25,2888,183
2033,36,3011,229
2034,17,2850,165
2035,37,2842,236
2036,30,2811,238
2037,26,2912,198
2038,39,2895,237
2039,54,2809,332
2040,33,2788,191
2041,24,2936,181
2042,38,2879,258
2043,27,2749,183
2044,31,2865,241
2045,11,2978,96
2046,22,2618,170

min,,2000
max,,4000
steps,,9
decimal
