year,annual-hydric-deficit
1987,154
1988,86
1989,-111
1990,-17
1991,-100
1992,27
1993,-214
1994,26
1995,141
1996,71
1997,-29
1998,-126
1999,-117
2000,-162
2001,-146
2002,72
2003,-489
2004,-139
2005,13
2006,88
2007,23
2008,-23
2009,65
2010,101
2011,-185
2012,-48
2013,130
2014,-129
2015,-313
2016,108
