year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.9,11.4,16.6,5.1
1988,2.7,12.9,16.3,5.2
1989,3.8,12.3,17.0,5.0
1990,4.3,12.6,16.4,4.7
1991,1.5,10.7,18.0,3.6
1992,2.9,13.6,18.0,5.0
1993,2.2,14.4,16.1,4.2
1994,3.6,13.2,18.3,6.6
1995,3.1,12.3,17.5,5.0
1996,-0.4,12.5,15.2,4.4
1997,3.3,12.2,17.9,5.0
1998,3.9,13.6,16.4,4.1
1999,3.0,13.2,18.4,4.7
2000,3.7,14.5,16.6,6.8
2001,3.5,12.7,17.2,5.7
2002,3.9,13.7,17.0,6.1
2003,1.9,15.2,19.3,5.0
2004,2.7,12.9,17.7,5.5
2005,1.9,14.2,17.6,5.7
2006,0.4,13.7,19.1,8.5
2007,5.5,15.4,16.2,4.9
2008,4.5,14.1,16.7,5.5
2009,1.2,14.5,18.1,6.1
2010,1.2,12.9,17.1,4.0
2011,3.5,15.0,17.7,6.5
2012,2.9,14.0,17.8,5.8
2013,0.9,12.7,17.9,6.6
2014,5.7,14.3,17.4,7.5
2015,3.2,13.7,19.0,7.8
2016,3.8,13.3,18.8,5.1
