year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,125,240,187,138
1988,256,176,150,164
1989,103,154,108,175
1990,119,152,175,178
1991,71,101,226,120
1992,186,210,133,214
1993,62,119,108,254
1994,155,215,214,172
1995,219,239,246,151
1996,73,190,288,200
1997,210,185,161,154
1998,93,133,139,237
1999,123,159,126,146
2000,170,79,209,97
2001,171,144,121,183
2002,178,198,217,223
2003,99,125,78,125
2004,107,146,183,192
2005,199,230,202,143
2006,158,251,291,177
2007,200,248,218,168
2008,224,186,184,172
2009,159,169,254,254
2010,151,162,248,271
2011,111,103,280,198
2012,120,174,194,305
2013,148,251,265,223
2014,107,125,277,162
2015,149,145,85,161
2016,246,286,197,153
