year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,70,10,-65,83
1988,192,-94,-112,115
1989,33,-115,-161,117
1990,28,-118,-114,122
1991,-1,-146,-77,66
1992,112,-91,-158,148
1993,-27,-198,-188,188
1994,72,-66,-83,109
1995,130,-13,-58,91
1996,4,-81,24,134
1997,127,-95,-143,83
1998,1,-156,-144,181
1999,58,-102,-157,94
2000,102,-218,-61,24
2001,93,-151,-197,113
2002,83,-107,-65,155
2003,6,-230,-309,51
2004,18,-148,-128,133
2005,127,-76,-97,79
2006,97,-46,-36,95
2007,100,-96,-59,99
2008,124,-125,-110,104
2009,89,-137,-52,180
2010,66,-122,-41,204
2011,19,-248,-24,118
2012,23,-146,-129,235
2013,76,-17,-53,151
2014,0,-190,-1,92
2015,59,-171,-271,89
2016,160,8,-123,95
