year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,212,339,241,342
1988,475,357,214,249
1989,165,321,148,177
1990,262,363,200,381
1991,169,195,225,275
1992,30,321,216,209
1993,30,282,108,222
1994,315,377,338,381
1995,421,167,240,292
1996,247,287,297,375
1997,123,386,239,421
1998,224,399,302,264
1999,263,379,424,339
2000,127,260,233,229
2001,247,189,142,152
2002,125,253,186,294
2003,145,110,148,310
2004,269,200,217,182
2005,89,206,217,177
2006,189,132,276,157
2007,196,258,194,137
2008,170,362,105,308
2009,137,300,103,229
2010,212,196,124,236
2011,147,129,234,197
2012,79,282,134,225
2013,211,298,172,227
2014,290,194,303,246
2015,186,146,200,105
2016,295,329,176,175
2017,234,257,168,225
2018,381,256,90,239
2019,150,219,150,498
2020,192,280,149,370

