year,annual-average-temperature
1987,12.8
1988,13.0
1989,13.8
1990,13.7
1991,12.7
1992,12.8
1993,12.6
1994,13.9
1995,13.9
1996,13.1
1997,14.5
1998,13.4
1999,13.6
2000,13.8
2001,13.4
2002,13.8
2003,14.6
2004,13.5
2005,13.1
2006,14.3
2007,13.3
2008,13.3
2009,13.9
2010,12.8
2011,14.4
2012,13.6
2013,13.0
2014,14.0
2015,13.9
2016,13.7

min,10
max,16
steps,7
decimal


