year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,269,235,121,273
1988,475,431,169,115
1989,186,397,195,169
1990,201,346,160,383
1991,168,285,219,290
1992,85,364,135,270
1993,30,350,287,216
1994,178,253,135,166
1995,205,121,120,153
1996,246,193,163,195
1997,117,205,259,199
1998,98,188,164,143
1999,119,149,271,148
2000,98,211,117,233
2001,174,167,178,70
2002,97,234,181,230
2003,193,145,127,202
2004,225,177,108,200
2005,85,122,219,161
2006,150,147,241,110
2007,178,243,95,84
2008,179,225,150,213
2009,158,186,108,190
2010,141,219,117,224
2011,116,99,136,137
2012,78,245,100,192
2013,375,339,227,282
2014,399,253,207,212
2015,290,158,237,143
2016,355,175,201,142
